case,activity,timestamp,resource,price,case_label,target
1,A,2019-04-19 17:25:47.000000,R590,275,train,False
1,B,2019-04-20 12:25:29.508964,R997,932,train,False
1,C,2019-04-22 01:46:41.825623,R569,289,train,False
1,D,2019-04-24 01:25:22.974554,R530,562,train,True
1,F,2019-04-24 22:28:23.936953,R965,829,train,True
1,G,2019-04-25 08:19:03.711956,R737,580,train,True
1,H,2019-04-27 06:18:34.877242,R221,946,train,True
2,A,2017-02-12 13:56:16.000000,R491,730,train,False
2,B,2017-02-14 10:47:42.297628,R599,828,train,False
2,C,2017-02-16 06:04:04.274201,R313,829,train,False
2,E,2017-02-16 07:44:50.186238,R443,40,train,True
2,F,2017-02-16 13:04:39.138745,R102,254,train,True
2,G,2017-02-17 15:01:14.116980,R814,77,train,True
2,H,2017-02-18 00:28:55.719472,R111,229,train,True
3,A,2016-06-16 21:39:39.000000,R171,419,train,False
3,B,2016-06-17 13:06:12.221045,R345,236,train,False
3,C,2016-06-19 01:53:33.070514,R225,442,train,False
3,D,2016-06-19 07:04:56.807668,R531,583,train,True
3,F,2016-06-20 20:11:49.494822,R472,998,train,True
3,G,2016-06-22 08:35:31.432618,R802,562,train,True
3,H,2016-06-24 06:38:28.814061,R858,844,train,True
4,A,2019-02-16 00:47:37.000000,R188,196,test,False
4,B,2019-02-17 20:17:14.668849,R513,613,test,False
4,C,2019-02-18 09:20:48.396094,R935,879,test,False
4,E,2019-02-19 13:47:47.997247,R400,353,test,True
4,F,2019-02-20 02:25:16.117766,R640,312,test,True
4,G,2019-02-21 17:49:22.063353,R560,442,test,True
4,H,2019-02-22 08:00:19.714992,R257,840,test,True
5,A,2019-04-18 04:43:44.000000,R20,324,train,False
5,B,2019-04-18 15:58:27.597621,R350,969,train,False
5,C,2019-04-19 06:02:06.919213,R473,998,train,False
5,E,2019-04-20 12:46:30.707305,R909,879,train,True
5,F,2019-04-21 16:47:57.285348,R124,269,train,True
5,G,2019-04-23 15:04:14.055774,R678,852,train,True
5,H,2019-04-24 16:57:57.343349,R857,472,train,True
6,A,2015-09-29 04:06:59.000000,R554,483,train,False
6,B,2015-09-29 12:18:54.725540,R35,946,train,False
6,C,2015-10-01 06:48:55.661993,R651,472,train,False
6,D,2015-10-03 00:06:14.152229,R406,108,train,True
6,F,2015-10-03 05:13:07.700963,R635,383,train,True
6,G,2015-10-03 13:54:02.258642,R919,879,train,True
6,H,2015-10-05 01:48:35.646319,R234,269,train,True
7,A,2019-05-14 15:19:47.000000,R760,932,train,False
7,B,2019-05-16 14:41:17.497569,R686,275,train,False
7,C,2019-05-17 00:24:29.319498,R41,251,train,False
7,D,2019-05-17 04:33:13.537888,R154,251,train,True
7,F,2019-05-18 11:45:53.457979,R854,419,train,True
7,G,2019-05-20 02:47:15.313735,R116,844,train,True
7,H,2019-05-20 16:38:20.638542,R606,442,train,True
8,A,2019-11-11 23:24:47.000000,R68,571,train,False
8,B,2019-11-13 07:14:26.576293,R328,762,train,False
8,C,2019-11-14 10:43:56.295217,R666,624,train,False
8,E,2019-11-16 10:12:40.718370,R272,562,train,True
8,F,2019-11-16 15:00:28.628295,R771,503,train,True
8,G,2019-11-17 13:22:56.791424,R701,251,train,True
8,H,2019-11-18 18:36:45.552963,R522,418,train,True
9,A,2019-10-25 11:05:39.000000,R234,40,train,False
9,B,2019-10-27 09:27:32.810367,R446,77,train,False
9,C,2019-10-28 17:07:48.812790,R569,844,train,False
9,E,2019-10-30 03:27:06.422682,R648,571,train,True
9,F,2019-10-31 12:31:32.906155,R13,790,train,True
9,G,2019-11-01 21:10:49.110860,R325,730,train,True
9,H,2019-11-02 21:00:28.088410,R181,622,train,True
10,A,2017-03-19 06:41:56.000000,R681,928,train,False
10,B,2017-03-21 04:54:45.933997,R834,717,train,False
10,C,2017-03-21 19:46:49.699276,R533,287,train,False
10,D,2017-03-23 02:02:14.950126,R939,717,train,True
10,F,2017-03-24 18:31:17.559998,R560,433,train,True
10,G,2017-03-25 23:52:45.928116,R867,275,train,True
10,H,2017-03-26 18:45:11.996163,R935,269,train,True
11,A,2016-05-03 21:25:09.000000,R348,879,train,False
11,B,2016-05-04 20:13:15.883361,R704,951,train,False
11,C,2016-05-05 13:08:16.757481,R500,840,train,False
11,E,2016-05-07 12:05:17.786790,R969,98,train,True
11,F,2016-05-09 05:31:19.583378,R959,811,train,True
11,G,2016-05-10 13:29:34.329781,R136,844,train,True
11,H,2016-05-12 13:00:18.524984,R208,502,train,True
12,A,2016-07-23 12:57:59.000000,R991,878,train,False
12,B,2016-07-23 17:25:31.803856,R855,98,train,False
12,C,2016-07-24 17:53:49.928694,R83,447,train,False
12,D,2016-07-24 17:59:21.104050,R516,485,train,True
12,F,2016-07-26 09:18:36.933715,R584,852,train,True
12,G,2016-07-28 07:42:07.733172,R174,256,train,True
12,H,2016-07-28 17:47:57.595054,R328,383,train,True
13,A,2018-09-08 15:02:15.000000,R837,383,train,False
13,B,2018-09-09 21:17:59.078238,R602,418,train,False
13,C,2018-09-10 04:13:32.626806,R468,262,train,False
13,D,2018-09-10 12:12:14.489630,R379,852,train,True
13,F,2018-09-10 19:48:56.860177,R695,583,train,True
13,G,2018-09-12 18:37:33.888018,R829,762,train,True
13,H,2018-09-13 04:01:43.874290,R770,55,train,True
14,A,2018-12-01 15:57:30.000000,R671,998,train,False
14,B,2018-12-03 14:32:56.258777,R986,341,train,False
14,C,2018-12-04 04:40:07.562900,R908,55,train,False
14,D,2018-12-04 14:20:05.310642,R183,447,train,True
14,F,2018-12-05 01:05:12.111625,R383,485,train,True
14,G,2018-12-05 12:09:28.104226,R618,600,train,True
14,H,2018-12-05 16:46:56.776202,R152,433,train,True
15,A,2016-01-08 23:47:08.000000,R990,269,test,False
15,B,2016-01-10 22:11:24.029849,R149,502,test,False
15,C,2016-01-11 12:12:52.194911,R962,275,test,False
15,D,2016-01-12 17:02:37.982392,R810,437,test,True
15,F,2016-01-12 18:02:38.466478,R834,251,test,True
15,G,2016-01-12 22:10:41.673232,R190,419,test,True
15,H,2016-01-13 20:10:33.827197,R420,539,test,True
16,A,2016-01-13 01:56:20.000000,R985,730,train,False
16,B,2016-01-13 11:48:16.423847,R317,717,train,False
16,C,2016-01-14 15:24:59.822632,R736,762,train,False
16,E,2016-01-14 16:10:49.417316,R233,969,train,True
16,F,2016-01-16 14:10:23.955982,R746,362,train,True
16,G,2016-01-17 19:59:08.211462,R845,879,train,True
16,H,2016-01-18 20:42:36.214146,R571,40,train,True
17,A,2017-11-24 08:36:40.000000,R252,624,train,False
17,B,2017-11-25 14:09:30.830693,R830,383,train,False
17,C,2017-11-27 08:23:56.060109,R100,13,train,False
17,D,2017-11-28 10:57:26.426363,R74,157,train,True
17,F,2017-11-28 11:25:36.967044,R974,289,train,True
17,G,2017-11-29 09:02:41.268457,R506,844,train,True
17,H,2017-11-30 23:32:46.212896,R284,19,train,True
18,A,2017-05-14 15:05:36.000000,R211,624,train,False
18,B,2017-05-15 20:12:37.223847,R257,502,train,False
18,C,2017-05-17 15:28:14.251820,R936,829,train,False
18,E,2017-05-18 11:31:17.154444,R490,355,train,True
18,F,2017-05-20 09:48:40.073524,R621,686,train,True
18,G,2017-05-22 06:43:14.928130,R606,811,train,True
18,H,2017-05-23 08:59:32.320292,R631,157,train,True
19,A,2019-09-30 23:37:20.000000,R744,946,train,False
19,B,2019-10-01 16:48:16.976429,R759,229,train,False
19,C,2019-10-02 09:00:41.671797,R608,437,train,False
19,D,2019-10-02 13:19:16.298343,R56,879,train,True
19,F,2019-10-03 11:22:26.787268,R659,609,train,True
19,G,2019-10-04 12:12:23.797136,R107,419,train,True
19,H,2019-10-05 10:42:21.917743,R41,503,train,True
20,A,2017-06-28 19:30:34.000000,R842,609,train,False
20,B,2017-06-30 12:36:33.903686,R670,764,train,False
20,C,2017-07-01 14:21:07.342722,R211,829,train,False
20,E,2017-07-03 02:02:53.424624,R409,773,train,True
20,F,2017-07-04 23:29:54.775596,R483,784,train,True
20,G,2017-07-05 17:42:16.994039,R96,418,train,True
20,H,2017-07-06 08:37:53.135689,R27,289,train,True
21,A,2015-03-22 06:08:36.000000,R472,811,train,False
21,B,2015-03-24 00:03:37.886487,R846,63,train,False
21,C,2015-03-24 12:14:01.008757,R117,229,train,False
21,D,2015-03-25 20:19:36.698076,R879,229,train,True
21,F,2015-03-25 23:25:56.079452,R31,503,train,True
21,G,2015-03-27 00:53:16.600582,R682,896,train,True
21,H,2015-03-28 22:59:34.346576,R136,108,train,True
22,A,2016-10-24 06:14:40.000000,R979,844,train,False
22,B,2016-10-25 20:40:47.007593,R691,562,train,False
22,C,2016-10-26 09:57:12.019335,R813,928,train,False
22,E,2016-10-27 14:13:41.564264,R768,362,train,True
22,F,2016-10-27 14:38:52.487313,R664,762,train,True
22,G,2016-10-27 20:03:30.968960,R363,580,train,True
22,H,2016-10-28 15:37:16.841776,R618,40,train,True
23,A,2015-06-29 07:04:19.000000,R307,419,train,False
23,B,2015-07-01 00:38:16.916145,R740,935,train,False
23,C,2015-07-01 22:49:29.800171,R457,875,train,False
23,E,2015-07-03 03:26:36.628863,R84,40,train,True
23,F,2015-07-04 05:44:13.523153,R693,671,train,True
23,G,2015-07-05 17:43:48.933455,R807,275,train,True
23,H,2015-07-06 01:15:25.880569,R202,355,train,True
24,A,2018-08-08 19:45:47.000000,R371,437,train,False
24,B,2018-08-10 09:07:15.574606,R622,289,train,False
24,C,2018-08-10 17:56:04.744962,R562,502,train,False
24,E,2018-08-11 02:52:16.599589,R760,848,train,True
24,F,2018-08-12 15:37:51.220157,R417,418,train,True
24,G,2018-08-13 11:25:13.071928,R272,601,train,True
24,H,2018-08-14 11:30:15.257262,R187,571,train,True
25,A,2019-10-29 11:51:05.000000,R178,848,test,False
25,B,2019-10-30 04:36:29.311745,R844,485,test,False
25,C,2019-10-31 12:59:42.855309,R925,419,test,False
25,D,2019-10-31 19:57:31.512483,R697,98,test,True
