case,activity,timestamp,resource,price,case_label,target
1,A,2018-07-27 02:22:35.000000,R82,289,train,False
1,B,2018-07-27 23:52:54.538872,R84,472,train,False
1,C,2018-07-28 05:14:37.087785,R24,717,train,False
1,E,2018-07-29 01:34:19.920915,R42,844,train,True
1,F,2018-07-30 03:18:18.201432,R7,251,train,True
1,G,2018-07-30 18:46:56.797180,R8,601,train,True
1,H,2018-07-31 16:40:44.664624,R80,355,train,True
2,A,2019-02-14 15:08:47.000000,R19,442,train,False
2,B,2019-02-15 18:43:18.243656,R66,433,train,False
2,C,2019-02-15 19:21:58.700700,R84,447,train,False
2,D,2019-02-16 11:15:28.932941,R82,287,train,True
2,F,2019-02-16 15:05:27.286194,R50,256,train,True
2,G,2019-02-18 01:21:59.120525,R47,562,train,True
2,H,2019-02-18 16:12:53.145354,R97,848,train,True
3,A,2017-01-18 21:13:12.000000,R41,613,train,False
3,B,2017-01-18 23:12:57.560023,R96,875,train,False
3,C,2017-01-20 18:34:16.658614,R97,275,train,False
3,D,2017-01-21 15:32:27.689766,R93,16,train,True
3,F,2017-01-23 14:14:04.395167,R2,539,train,True
3,G,2017-01-24 17:56:09.948506,R1,624,train,True
3,H,2017-01-24 23:30:43.233037,R19,254,train,True
4,A,2018-12-30 17:40:37.000000,R26,287,train,False
4,B,2018-12-31 07:16:07.507896,R29,571,train,False
4,C,2018-12-31 22:30:51.230165,R44,483,train,False
4,D,2019-01-01 18:23:56.846614,R77,355,train,True
4,F,2019-01-03 18:07:28.462778,R51,875,train,True
4,G,2019-01-04 21:05:13.991180,R68,852,train,True
4,H,2019-01-05 12:33:13.914242,R72,773,train,True
5,A,2016-01-20 17:14:00.000000,R99,262,train,False
5,B,2016-01-21 12:23:09.429748,R96,613,train,False
5,C,2016-01-22 11:13:35.386721,R93,840,train,False
5,E,2016-01-24 09:04:25.165395,R22,108,train,True
5,F,2016-01-25 10:42:16.051975,R49,583,train,True
5,G,2016-01-26 04:23:15.116757,R57,529,train,True
5,H,2016-01-27 19:31:17.766475,R49,829,train,True
6,A,2016-07-26 17:15:31.000000,R49,601,train,False
6,B,2016-07-28 16:04:15.251896,R80,182,train,False
6,C,2016-07-30 12:17:56.319916,R58,583,train,False
6,E,2016-07-31 11:30:07.154227,R12,182,train,True
6,F,2016-08-02 08:31:13.927812,R75,262,train,True
6,G,2016-08-03 19:18:39.676357,R40,418,train,True
6,H,2016-08-04 20:17:52.101761,R23,418,train,True
7,A,2016-11-14 16:30:34.000000,R3,730,train,False
7,B,2016-11-15 22:46:54.903144,R45,742,train,False
7,C,2016-11-17 08:07:59.883334,R81,19,train,False
7,D,2016-11-19 01:37:47.947589,R73,503,train,True
7,F,2016-11-21 00:56:33.522772,R19,671,train,True
7,G,2016-11-21 20:56:57.850962,R36,730,train,True
7,H,2016-11-23 03:00:23.108267,R32,580,train,True
8,A,2018-02-19 23:42:41.000000,R27,853,train,False
8,B,2018-02-20 05:29:01.748261,R9,951,train,False
8,C,2018-02-21 07:42:43.371803,R75,447,train,False
8,D,2018-02-21 18:18:17.430518,R43,355,train,True
8,F,2018-02-22 16:42:42.364428,R82,878,train,True
8,G,2018-02-22 18:53:11.409432,R60,539,train,True
8,H,2018-02-23 03:12:14.397333,R56,233,train,True
9,A,2017-06-22 03:10:50.000000,R7,483,train,False
9,B,2017-06-22 17:33:48.336573,R27,600,train,False
9,C,2017-06-23 20:55:15.387369,R21,275,train,False
9,D,2017-06-25 19:10:37.060609,R69,447,train,True
9,F,2017-06-27 17:18:28.898008,R89,251,train,True
9,G,2017-06-28 17:28:27.486253,R47,622,train,True
9,H,2017-06-30 04:24:06.530829,R84,730,train,True
10,A,2018-07-07 13:26:32.000000,R40,98,train,False
10,B,2018-07-08 05:21:23.754186,R36,84,train,False
10,C,2018-07-09 02:47:43.748457,R41,624,train,False
