case,activity,timestamp,resource,price,case_label,target
1,A,2019-06-06 19:35:59.000000,R90,4822,train,False
1,B,2019-06-07 22:25:58.529013,R40,3035,train,False
1,C,2019-06-09 05:54:24.084273,R4,344,train,False
1,D,2019-06-10 08:35:15.464416,R81,1870,train,True
1,F,2019-06-12 01:56:09.173636,R39,7683,train,False
1,G,2019-06-12 23:00:36.180227,R28,5225,train,False
1,H,2019-06-13 08:00:40.954301,R65,6913,train,False
2,A,2017-10-02 11:31:08.000000,R75,5194,test,False
2,B,2017-10-03 06:13:05.941485,R34,7023,test,False
2,C,2017-10-04 14:15:03.905432,R76,1846,test,False
2,D,2017-10-05 23:41:05.429567,R60,9812,test,True
2,F,2017-10-06 05:10:53.126117,R56,5194,test,False
2,G,2017-10-08 02:31:42.338165,R62,4983,test,False
2,H,2017-10-08 08:42:10.273847,R62,7286,test,False
3,A,2019-03-03 07:34:37.000000,R74,5187,train,False
3,B,2019-03-04 11:56:31.687083,R61,7637,train,False
3,C,2019-03-06 02:03:02.077052,R20,8415,train,False
3,E,2019-03-06 21:52:24.321572,R43,6275,train,True
3,F,2019-03-08 09:09:38.705132,R12,5921,train,False
3,G,2019-03-08 16:21:09.002365,R78,2607,train,False
3,H,2019-03-09 19:15:18.549405,R66,2945,train,False
4,A,2019-01-13 14:19:28.000000,R18,5746,train,False
4,B,2019-01-15 02:55:18.556985,R26,2546,train,False
4,C,2019-01-15 16:47:35.666356,R91,6603,train,False
4,E,2019-01-16 07:52:02.384691,R30,2279,train,True
4,F,2019-01-16 08:37:03.025943,R84,7723,train,False
4,G,2019-01-18 07:43:13.246409,R51,5549,train,False
4,H,2019-01-19 09:21:19.355813,R49,3431,train,False
5,A,2017-08-22 16:08:04.000000,R40,9983,test,False
5,B,2017-08-22 20:19:34.430107,R37,4693,test,False
5,C,2017-08-22 21:32:32.563284,R41,3541,test,False
5,D,2017-08-24 05:13:37.269799,R27,3565,test,True
5,F,2017-08-24 07:38:00.606168,R50,2509,test,False
5,G,2017-08-24 11:18:13.125229,R100,1487,test,False
5,H,2017-08-24 12:25:49.221313,R37,1054,test,False
6,A,2017-08-04 20:58:29.000000,R87,2628,train,False
6,B,2017-08-05 23:36:19.071008,R8,8322,train,False
6,C,2017-08-07 21:47:09.119717,R44,7596,train,False
6,E,2017-08-08 06:50:32.228252,R46,4333,train,True
6,F,2017-08-08 21:47:11.553970,R1,2820,train,False
6,G,2017-08-09 12:30:26.940676,R4,2904,train,False
6,H,2017-08-10 15:39:59.448306,R92,8034,train,False
7,A,2015-12-31 07:20:27.000000,R62,3407,train,False
7,B,2016-01-01 23:14:38.093388,R80,3608,train,False
7,C,2016-01-02 22:47:50.626233,R73,4891,train,False
7,D,2016-01-02 23:01:28.476907,R89,3569,train,True
7,F,2016-01-04 08:10:12.572371,R33,6971,train,False
7,G,2016-01-05 13:09:01.900466,R16,196,train,False
7,H,2016-01-07 04:48:34.292535,R5,5066,train,False
8,A,2016-05-22 15:41:14.000000,R76,5559,train,False
8,B,2016-05-24 04:17:08.548860,R88,8034,train,False
8,C,2016-05-25 02:59:39.047267,R82,5778,train,False
8,E,2016-05-26 21:44:04.959039,R15,1309,train,True
8,F,2016-05-27 01:07:12.436933,R25,2432,train,False
8,G,2016-05-27 06:22:11.623004,R55,7240,train,False
8,H,2016-05-27 07:02:03.965059,R16,5169,train,False
9,A,2018-06-14 07:20:02.000000,R15,1309,train,False
9,B,2018-06-15 20:26:44.230822,R91,6847,train,False
9,C,2018-06-16 05:32:31.835338,R12,5249,train,False
9,E,2018-06-16 13:42:58.158703,R23,5327,train,True
9,F,2018-06-16 17:09:12.664045,R74,6790,train,False
9,G,2018-06-17 23:41:12.228067,R23,1579,train,False
9,H,2018-06-18 17:41:20.814455,R74,1909,train,False
10,A,2018-03-29 06:01:09.000000,R96,3505,train,False
10,B,2018-03-29 06:38:00.892848,R88,8721,train,False
10,C,2018-03-31 04:16:27.059396,R71,558,train,False
10,D,2018-04-01 10:47:18.201283,R87,1103,train,True
