case,activity,timestamp,resource,price,case_label,target
1,A,2016-01-19 05:50:56.000000,R6,852,train,False
1,B,2016-01-19 12:59:36.029294,R36,613,train,False
1,C,2016-01-20 08:38:06.369136,R21,485,train,False
1,D,2016-01-21 20:18:36.219773,R4,571,train,True
1,F,2016-01-21 21:08:18.035639,R26,896,train,False
1,G,2016-01-23 12:49:15.766433,R6,447,train,False
1,H,2016-01-25 11:51:36.066619,R20,341,train,False
2,A,2018-09-10 11:57:29.000000,R17,77,train,False
2,B,2018-09-10 22:17:40.348134,R82,312,train,False
2,C,2018-09-11 14:39:39.432056,R18,256,train,False
2,D,2018-09-11 18:53:14.229997,R58,764,train,True
2,F,2018-09-12 17:34:48.837492,R97,539,train,False
2,G,2018-09-13 18:54:53.127563,R75,472,train,False
2,H,2018-09-15 05:51:09.743581,R8,951,train,False
3,A,2016-08-19 04:27:30.000000,R53,601,train,False
3,B,2016-08-20 15:52:28.518879,R60,289,train,False
3,C,2016-08-22 05:34:57.920772,R72,145,train,False
3,D,2016-08-22 18:09:14.626868,R60,572,train,True
3,F,2016-08-24 10:56:33.201693,R18,182,train,False
3,G,2016-08-25 02:26:08.114659,R92,98,train,False
3,H,2016-08-25 23:01:21.666151,R41,773,train,False
4,A,2016-10-06 10:31:02.000000,R37,503,train,False
4,B,2016-10-06 12:49:29.372506,R30,55,train,False
4,C,2016-10-08 11:24:09.223937,R67,256,train,False
4,D,2016-10-10 09:56:25.570463,R8,762,train,True
4,F,2016-10-11 14:08:50.601521,R16,19,train,False
4,G,2016-10-12 19:42:29.577512,R27,419,train,False
4,H,2016-10-13 18:14:14.714699,R26,932,train,False
5,A,2018-03-09 04:46:38.000000,R91,13,train,False
5,B,2018-03-10 03:39:37.422969,R68,571,train,False
5,C,2018-03-10 10:18:02.428765,R71,287,train,False
5,D,2018-03-11 04:50:28.091306,R50,362,train,True
5,F,2018-03-13 03:35:26.572953,R11,879,train,False
5,G,2018-03-13 09:22:19.573687,R61,16,train,False
5,H,2018-03-15 01:08:31.353525,R15,671,train,False
6,A,2015-09-30 02:56:21.000000,R36,852,train,False
6,B,2015-10-01 10:41:46.559591,R99,442,train,False
6,C,2015-10-02 14:06:28.823077,R93,433,train,False
6,D,2015-10-04 11:00:40.570247,R70,383,train,True
6,F,2015-10-05 20:28:38.151481,R73,991,train,False
6,G,2015-10-07 15:42:38.339214,R99,557,train,False
6,H,2015-10-09 11:19:39.393949,R8,946,train,False
7,A,2018-12-09 14:51:10.000000,R32,502,train,False
7,B,2018-12-10 15:09:11.404072,R30,811,train,False
7,C,2018-12-10 20:43:12.306662,R16,875,train,False
7,E,2018-12-11 11:34:51.943709,R69,256,train,True
7,F,2018-12-12 17:58:43.974566,R100,991,train,False
7,G,2018-12-13 17:29:40.436202,R7,762,train,False
7,H,2018-12-15 09:11:27.974212,R10,571,train,False
8,A,2018-10-07 14:23:31.000000,R33,19,train,False
8,B,2018-10-09 02:23:03.460180,R7,287,train,False
8,C,2018-10-10 23:58:18.921478,R78,472,train,False
8,D,2018-10-11 01:58:38.975288,R7,483,train,True
8,F,2018-10-11 07:43:05.558812,R40,730,train,False
8,G,2018-10-11 14:40:22.680047,R24,233,train,False
8,H,2018-10-12 06:45:02.987384,R39,998,train,False
9,A,2017-01-24 20:36:44.000000,R71,437,train,False
9,B,2017-01-24 21:36:27.172884,R55,951,train,False
9,C,2017-01-25 17:01:51.281942,R74,16,train,False
9,D,2017-01-26 21:57:29.043775,R64,622,train,True
9,F,2017-01-27 06:28:56.945969,R46,236,train,False
9,G,2017-01-28 18:14:35.194716,R3,932,train,False
9,H,2017-01-28 23:16:51.617275,R88,764,train,False
10,A,2018-06-14 05:55:59.000000,R75,853,train,False
10,B,2018-06-15 00:02:40.221857,R8,502,train,False
10,C,2018-06-16 21:24:10.845246,R26,609,train,False
10,E,2018-06-17 06:59:21.291406,R8,717,train,True
10,F,2018-06-17 07:29:22.815885,R76,275,train,False
10,G,2018-06-17 11:27:33.048101,R62,844,train,False
10,H,2018-06-18 20:17:48.310795,R20,16,train,False
11,A,2016-03-23 23:42:09.000000,R86,55,train,False
11,B,2016-03-25 10:40:46.958150,R52,773,train,False
11,C,2016-03-25 19:09:28.045197,R17,926,train,False
11,E,2016-03-26 01:02:10.705260,R15,828,train,True
11,F,2016-03-28 00:54:55.106291,R61,840,train,False
11,G,2016-03-29 08:05:50.327574,R85,233,train,False
11,H,2016-03-31 07:14:31.754969,R8,671,train,False
12,A,2019-11-07 09:18:27.000000,R68,383,train,False
12,B,2019-11-08 11:30:44.524089,R86,852,train,False
12,C,2019-11-08 12:51:38.000333,R74,935,train,False
12,E,2019-11-08 23:03:08.651456,R83,951,train,True
12,F,2019-11-10 09:25:47.005722,R60,600,train,False
12,G,2019-11-11 04:00:23.703977,R38,502,train,False
12,H,2019-11-11 23:41:38.417790,R53,433,train,False
13,A,2018-03-01 08:40:55.000000,R54,502,train,False
13,B,2018-03-01 23:39:06.807391,R77,984,train,False
13,C,2018-03-03 06:31:16.362680,R55,935,train,False
13,E,2018-03-04 20:44:03.491318,R2,601,train,True
13,F,2018-03-06 15:10:41.660916,R43,502,train,False
13,G,2018-03-07 00:56:41.535446,R24,324,train,False
13,H,2018-03-08 19:26:22.490164,R44,878,train,False
14,A,2018-06-28 09:52:33.000000,R4,324,train,False
14,B,2018-06-28 20:58:11.787856,R11,686,train,False
14,C,2018-06-29 03:05:02.301414,R86,233,train,False
14,D,2018-06-30 00:15:56.322658,R49,254,train,True
14,F,2018-06-30 09:21:34.600942,R28,437,train,False
14,G,2018-07-02 04:01:40.868243,R69,671,train,False
14,H,2018-07-02 08:38:56.212186,R4,229,train,False
15,A,2015-05-17 08:08:53.000000,R41,844,train,False
15,B,2015-05-17 19:47:43.355596,R96,951,train,False
15,C,2015-05-17 21:49:33.172992,R89,233,train,False
15,D,2015-05-19 07:41:38.220213,R13,853,train,True
15,F,2015-05-19 12:30:50.218156,R47,969,train,False
15,G,2015-05-20 14:09:26.835421,R5,624,train,False
15,H,2015-05-21 05:41:37.801885,R19,418,train,False
16,A,2018-08-07 21:06:17.000000,R48,16,train,False
16,B,2018-08-07 22:19:04.380988,R92,353,train,False
16,C,2018-08-08 04:39:13.779962,R29,600,train,False
16,E,2018-08-08 18:37:27.820407,R25,287,train,True
16,F,2018-08-10 03:29:54.236767,R23,764,train,False
16,G,2018-08-11 06:14:33.221131,R20,433,train,False
16,H,2018-08-11 14:36:28.160879,R49,254,train,False
17,A,2018-08-23 00:22:07.000000,R12,671,train,False
17,B,2018-08-23 00:42:46.088540,R61,353,train,False
17,C,2018-08-23 11:14:51.225132,R61,852,train,False
17,E,2018-08-23 17:26:49.937445,R88,355,train,True
17,F,2018-08-25 09:13:29.513427,R93,946,train,False
17,G,2018-08-27 04:14:40.246833,R74,572,train,False
17,H,2018-08-28 11:58:40.818364,R98,969,train,False
18,A,2018-02-25 12:19:37.000000,R12,289,train,False
18,B,2018-02-26 05:42:08.741340,R69,624,train,False
18,C,2018-02-26 16:52:03.794202,R38,55,train,False
18,D,2018-02-27 07:51:26.119606,R50,362,train,True
18,F,2018-02-28 21:40:45.542778,R66,811,train,False
18,G,2018-03-02 02:39:10.192935,R95,419,train,False
18,H,2018-03-03 23:21:20.439801,R2,811,train,False
19,A,2015-06-19 00:40:17.000000,R75,539,train,False
19,B,2015-06-20 20:37:12.600603,R81,951,train,False
19,C,2015-06-21 08:12:22.181355,R15,447,train,False
19,D,2015-06-21 21:40:16.535692,R14,717,train,True
19,F,2015-06-22 07:21:09.782957,R21,182,train,False
19,G,2015-06-22 19:10:22.472691,R46,811,train,False
19,H,2015-06-23 03:28:00.205723,R35,145,train,False
20,A,2016-03-08 12:40:48.000000,R25,852,test,False
20,B,2016-03-09 07:32:42.558541,R81,40,test,False
20,C,2016-03-11 02:59:43.149962,R14,539,test,False
20,E,2016-03-12 21:51:47.646223,R12,624,test,True
20,F,2016-03-14 11:55:58.868898,R69,229,test,False
20,G,2016-03-15 13:01:19.387320,R78,764,test,False
20,H,2016-03-16 15:59:59.410166,R40,840,test,False
21,A,2016-10-30 01:35:13.000000,R9,98,train,False
21,B,2016-10-31 15:06:15.686115,R93,77,train,False
21,C,2016-11-02 07:11:44.239426,R82,852,train,False
21,E,2016-11-02 07:19:25.207464,R67,557,train,True
21,F,2016-11-03 19:13:52.894491,R3,828,train,False
21,G,2016-11-04 08:02:04.710341,R63,254,train,False
21,H,2016-11-05 00:01:26.239271,R52,502,train,False
22,A,2016-09-16 15:47:27.000000,R89,613,train,False
22,B,2016-09-18 07:35:42.330537,R54,852,train,False
22,C,2016-09-20 02:39:23.119784,R56,13,train,False
22,D,2016-09-20 23:50:32.836568,R47,622,train,True
22,F,2016-09-22 10:15:31.567649,R51,433,train,False
22,G,2016-09-23 23:13:25.585905,R26,251,train,False
22,H,2016-09-25 08:08:13.558157,R5,419,train,False
23,A,2019-04-17 05:49:36.000000,R18,433,test,False
23,B,2019-04-18 19:04:37.839137,R80,624,test,False
23,C,2019-04-18 20:00:54.201881,R72,262,test,False
23,D,2019-04-18 20:35:29.938364,R57,275,test,True
23,F,2019-04-19 07:53:32.222771,R74,324,test,False
23,G,2019-04-20 22:23:32.608102,R13,562,test,False
23,H,2019-04-21 00:09:26.413716,R91,287,test,False
24,A,2016-11-26 20:01:08.000000,R31,600,train,False
24,B,2016-11-28 09:55:50.220784,R94,433,train,False
24,C,2016-11-30 00:37:44.390863,R39,362,train,False
24,D,2016-12-01 00:42:02.618810,R86,324,train,True
24,F,2016-12-02 19:04:19.662676,R69,624,train,False
24,G,2016-12-02 19:08:54.787908,R19,928,train,False
24,H,2016-12-04 06:44:32.692352,R37,848,train,False
25,A,2017-05-03 18:17:51.000000,R93,233,train,False
25,B,2017-05-05 14:17:55.906539,R49,583,train,False
25,C,2017-05-05 16:36:26.527554,R39,951,train,False
25,E,2017-05-07 07:32:14.381293,R26,16,train,True
25,F,2017-05-07 13:17:29.047917,R66,254,train,False
25,G,2017-05-09 01:40:49.779893,R31,998,train,False
25,H,2017-05-10 13:50:30.199855,R71,622,train,False
26,A,2015-12-24 02:11:44.000000,R91,539,train,False
26,B,2015-12-26 00:32:05.606563,R72,583,train,False
26,C,2015-12-26 05:31:36.067379,R71,622,train,False
26,E,2015-12-27 08:41:31.338633,R8,946,train,True
26,F,2015-12-29 00:21:39.640469,R82,229,train,False
26,G,2015-12-30 01:11:50.995244,R85,275,train,False
26,H,2015-12-31 02:38:36.962946,R71,362,train,False
27,A,2019-11-30 08:01:16.000000,R73,55,train,False
27,B,2019-12-01 11:52:38.387339,R31,896,train,False
27,C,2019-12-01 23:49:31.105772,R76,55,train,False
27,D,2019-12-03 13:32:08.581255,R1,998,train,True
27,F,2019-12-04 06:41:51.655924,R47,19,train,False
27,G,2019-12-05 02:37:33.129825,R72,572,train,False
27,H,2019-12-05 15:47:22.228728,R78,844,train,False
28,A,2019-10-20 04:37:12.000000,R61,828,train,False
28,B,2019-10-20 06:37:29.962249,R65,811,train,False
28,C,2019-10-20 16:31:16.074595,R77,145,train,False
28,D,2019-10-21 03:54:44.630083,R69,583,train,True
28,F,2019-10-21 05:59:24.361520,R86,848,train,False
28,G,2019-10-22 11:58:22.017864,R40,991,train,False
28,H,2019-10-22 16:57:12.086790,R40,604,train,False
29,A,2016-05-18 20:32:23.000000,R81,840,test,False
29,B,2016-05-20 09:51:14.084275,R54,529,test,False
29,C,2016-05-21 17:27:35.427110,R63,539,test,False
29,E,2016-05-23 10:38:01.755829,R22,275,test,True
29,F,2016-05-24 08:56:09.783679,R98,275,test,False
29,G,2016-05-25 02:21:18.585822,R43,84,test,False
29,H,2016-05-26 22:15:35.940594,R5,40,test,False
30,A,2018-08-30 20:49:48.000000,R46,77,train,False
30,B,2018-08-30 20:51:55.312939,R13,483,train,False
30,C,2018-09-01 06:09:08.970950,R84,16,train,False
30,D,2018-09-02 08:28:50.747679,R96,764,train,True
30,F,2018-09-03 16:42:04.251508,R77,773,train,False
30,G,2018-09-05 06:58:43.413952,R76,609,train,False
30,H,2018-09-06 13:02:34.394991,R97,472,train,False
31,A,2017-02-21 03:59:05.000000,R77,63,train,False
31,B,2017-02-21 05:47:01.041545,R59,275,train,False
31,C,2017-02-21 19:24:58.813816,R74,926,train,False
31,E,2017-02-23 15:27:13.215011,R46,790,train,True
31,F,2017-02-23 18:51:14.855468,R39,442,train,False
