case,activity,timestamp,resource,price,case_label,target
1,A,2018-07-20 07:51:43.000000,R12,145,train,False
1,B,2018-07-21 11:10:31.666897,R97,419,train,False
1,C,2018-07-22 16:53:05.888861,R24,557,train,False
1,E,2018-07-23 08:36:20.437945,R9,16,train,True
1,F,2018-07-24 19:51:14.565226,R10,503,train,True
1,G,2018-07-25 22:32:18.728345,R84,108,train,True
1,H,2018-07-26 14:01:48.158925,R40,433,train,True
2,A,2018-02-21 07:07:23.000000,R82,362,train,False
2,B,2018-02-22 08:43:32.329138,R91,829,train,False
2,C,2018-02-23 04:03:57.878206,R3,811,train,False
2,E,2018-02-24 05:12:48.402607,R10,848,train,True
2,F,2018-02-25 16:14:31.918843,R86,998,train,True
2,G,2018-02-25 17:47:39.813008,R70,98,train,True
2,H,2018-02-27 01:19:17.691179,R76,951,train,True
3,A,2016-01-04 08:12:35.000000,R48,764,train,False
3,B,2016-01-06 00:27:10.043543,R1,624,train,False
3,C,2016-01-06 02:53:59.305161,R25,63,train,False
3,D,2016-01-07 16:20:37.690380,R93,529,train,True
3,F,2016-01-08 16:17:21.843489,R48,926,train,True
3,G,2016-01-09 18:01:54.958130,R70,624,train,True
3,H,2016-01-11 03:28:05.443351,R32,256,train,True
4,A,2016-03-17 10:36:23.000000,R5,935,train,False
4,B,2016-03-17 19:10:44.398915,R48,730,train,False
4,C,2016-03-19 17:41:47.713473,R17,262,train,False
4,D,2016-03-19 18:13:11.799156,R60,77,train,True
4,F,2016-03-21 13:37:52.146380,R46,485,train,True
4,G,2016-03-22 14:04:45.697542,R77,951,train,True
4,H,2016-03-23 03:47:44.942073,R60,40,train,True
5,A,2019-06-08 13:16:26.000000,R63,879,train,False
5,B,2019-06-09 15:41:42.695439,R79,571,train,False
5,C,2019-06-10 06:32:27.275965,R46,16,train,False
5,D,2019-06-10 07:14:44.239679,R93,601,train,True
5,F,2019-06-10 13:42:51.009922,R16,324,train,True
5,G,2019-06-11 11:00:56.014813,R52,275,train,True
5,H,2019-06-12 23:48:38.661144,R8,229,train,True
6,A,2017-07-06 16:28:26.000000,R31,879,train,False
6,B,2017-07-07 15:15:44.211277,R20,848,train,False
6,C,2017-07-07 15:49:15.571207,R35,287,train,False
6,D,2017-07-08 02:20:02.823632,R87,572,train,True
6,F,2017-07-09 00:26:50.654349,R91,878,train,True
6,G,2017-07-09 07:13:34.248062,R67,472,train,True
6,H,2017-07-10 14:12:43.885794,R87,601,train,True
7,A,2016-03-14 11:10:20.000000,R47,275,train,False
7,B,2016-03-15 02:15:22.636992,R35,563,train,False
7,C,2016-03-16 08:38:25.609656,R18,353,train,False
7,D,2016-03-17 02:47:32.418881,R45,998,train,True
7,F,2016-03-18 13:23:55.256867,R21,433,train,True
7,G,2016-03-18 20:34:34.940543,R29,55,train,True
7,H,2016-03-19 07:41:33.167263,R5,829,train,True
8,A,2016-10-09 04:45:04.000000,R92,609,train,False
8,B,2016-10-10 09:47:31.610311,R25,539,train,False
8,C,2016-10-10 10:20:17.232366,R59,878,train,False
8,E,2016-10-10 13:09:08.562722,R35,622,train,True
8,F,2016-10-12 02:54:32.440688,R35,233,train,True
8,G,2016-10-12 18:08:16.823155,R80,16,train,True
8,H,2016-10-14 04:19:37.558301,R11,805,train,True
9,A,2016-03-22 04:12:19.000000,R1,98,train,False
9,B,2016-03-23 23:16:01.446061,R96,419,train,False
9,C,2016-03-25 06:50:22.510972,R40,353,train,False
9,D,2016-03-26 08:39:38.765928,R65,256,train,True
9,F,2016-03-26 14:12:46.956295,R54,362,train,True
9,G,2016-03-27 13:02:55.202828,R39,355,train,True
9,H,2016-03-29 06:27:29.283759,R62,969,train,True
10,A,2015-04-19 15:18:08.000000,R12,998,train,False
10,B,2015-04-20 10:58:36.233063,R28,355,train,False
10,C,2015-04-21 14:57:33.152456,R4,896,train,False
10,E,2015-04-22 14:57:17.011628,R83,77,train,True
10,F,2015-04-22 21:33:13.311826,R71,236,train,True
10,G,2015-04-23 23:57:56.538191,R70,557,train,True
10,H,2015-04-25 23:01:04.743296,R80,928,train,True
11,A,2016-07-23 16:08:12.000000,R52,324,test,False
11,B,2016-07-24 10:15:26.997751,R999,848,test,False
11,C,2016-07-26 01:57:57.929833,R998,63,test,False
11,D,2016-07-27 01:10:15.502965,R72,40,test,True
11,F,2016-07-27 12:33:27.322550,R57,609,test,True
11,G,2016-07-28 01:25:19.664806,R47,269,test,True
11,H,2016-07-29 14:46:44.806082,R53,13,test,True
12,A,2019-10-03 09:03:20.000000,R33,583,test,False
12,B,2019-10-05 06:12:41.962585,R999,773,test,False
12,C,2019-10-05 21:11:08.247826,R998,182,test,False
12,D,2019-10-07 05:39:34.097136,R47,447,test,True
12,F,2019-10-08 03:50:52.862103,R22,419,test,True
12,G,2019-10-09 16:36:00.865729,R17,562,test,True
12,H,2019-10-11 13:02:25.283462,R40,878,test,True
13,A,2017-01-06 21:23:58.000000,R12,583,test,False
13,B,2017-01-07 22:48:38.621415,R999,229,test,False
13,C,2017-01-09 19:51:56.092967,R998,762,test,False
13,E,2017-01-10 21:57:00.632739,R47,622,test,True
13,F,2017-01-12 01:19:50.028311,R95,182,test,True
13,G,2017-01-13 14:33:02.462830,R36,935,test,True
13,H,2017-01-14 00:27:08.033296,R58,853,test,True
14,A,2019-07-08 16:43:24.000000,R26,563,test,False
14,B,2019-07-10 14:54:25.792821,R999,256,test,False
14,C,2019-07-11 14:18:33.113877,R998,433,test,False
14,D,2019-07-11 21:26:12.906041,R82,485,test,True
14,F,2019-07-12 00:38:40.944402,R28,418,test,True
14,G,2019-07-12 19:06:13.644779,R1,254,test,True
14,H,2019-07-13 01:40:24.182606,R4,926,test,True
15,A,2016-01-14 06:42:05.000000,R53,236,train,False
15,B,2016-01-15 11:26:11.608255,R40,896,train,False
15,C,2016-01-16 18:24:26.081182,R96,383,train,False
15,D,2016-01-16 21:44:00.993158,R31,233,train,True
15,F,2016-01-16 22:27:25.351714,R12,762,train,True
15,G,2016-01-17 17:38:22.233030,R3,55,train,True
15,H,2016-01-18 05:59:17.720032,R21,784,train,True
16,A,2018-05-16 01:04:14.000000,R39,875,train,False
16,B,2018-05-16 20:46:20.307790,R47,502,train,False
16,C,2018-05-18 00:07:11.633024,R92,355,train,False
16,D,2018-05-18 17:22:47.473488,R60,946,train,True
16,F,2018-05-19 01:35:47.259566,R45,624,train,True
16,G,2018-05-20 11:35:37.541509,R21,353,train,True
16,H,2018-05-22 07:02:27.293834,R69,433,train,True
17,A,2018-09-09 20:01:55.000000,R16,233,test,False
17,B,2018-09-11 01:33:30.253036,R999,324,test,False
17,C,2018-09-11 15:03:27.620022,R998,13,test,False
17,D,2018-09-11 15:41:11.496898,R9,784,test,True
17,F,2018-09-13 07:38:10.302933,R30,182,test,True
17,G,2018-09-14 03:21:26.208527,R33,896,test,True
17,H,2018-09-16 01:43:50.654251,R30,353,test,True
18,A,2018-12-15 03:19:23.000000,R75,353,train,False
18,B,2018-12-16 01:16:08.105723,R76,362,train,False
18,C,2018-12-17 06:59:56.594729,R31,600,train,False
18,E,2018-12-19 01:12:56.263926,R99,108,train,True
18,F,2018-12-19 12:22:26.842488,R68,233,train,True
18,G,2018-12-21 08:51:41.384404,R52,77,train,True
18,H,2018-12-23 02:15:05.957306,R82,828,train,True
19,A,2015-02-07 15:25:07.000000,R71,811,train,False
19,B,2015-02-07 18:47:08.477685,R61,879,train,False
19,C,2015-02-08 11:58:06.715908,R28,40,train,False
19,D,2015-02-08 15:50:20.480673,R41,251,train,True
19,F,2015-02-09 14:37:40.282102,R14,157,train,True
19,G,2015-02-09 20:27:13.260266,R15,601,train,True
19,H,2015-02-10 02:50:29.779036,R37,341,train,True
20,A,2018-09-22 01:11:01.000000,R58,572,train,False
20,B,2018-09-23 12:21:00.079184,R69,196,train,False
20,C,2018-09-24 19:00:29.699188,R27,275,train,False
20,D,2018-09-25 07:35:41.678546,R34,254,train,True
20,F,2018-09-25 11:54:05.675461,R92,433,train,True
20,G,2018-09-25 18:02:50.804990,R76,686,train,True
20,H,2018-09-27 02:20:48.331339,R91,840,train,True
21,A,2017-12-17 17:28:43.000000,R90,447,train,False
21,B,2017-12-18 12:21:19.448150,R54,852,train,False
21,C,2017-12-19 00:13:30.425576,R29,600,train,False
21,E,2017-12-19 16:31:43.795551,R98,784,train,True
21,F,2017-12-21 00:04:26.446072,R92,182,train,True
21,G,2017-12-21 07:08:14.110864,R24,844,train,True
21,H,2017-12-21 09:00:00.245929,R40,875,train,True
22,A,2018-11-09 01:42:05.000000,R36,447,train,False
22,B,2018-11-09 21:17:24.710056,R77,562,train,False
22,C,2018-11-10 01:06:43.699414,R65,437,train,False
22,D,2018-11-11 01:55:07.359540,R37,805,train,True
22,F,2018-11-12 19:19:58.213441,R83,764,train,True
22,G,2018-11-14 06:41:41.204112,R11,251,train,True
22,H,2018-11-14 20:32:53.204430,R48,844,train,True
23,A,2019-09-11 08:10:26.000000,R24,485,train,False
23,B,2019-09-11 10:45:45.343532,R95,671,train,False
23,C,2019-09-12 09:57:47.746224,R52,98,train,False
23,D,2019-09-13 16:24:32.322486,R82,742,train,True
23,F,2019-09-13 23:25:59.336840,R79,730,train,True
23,G,2019-09-15 23:25:34.598465,R95,742,train,True
23,H,2019-09-16 19:14:21.112868,R99,879,train,True
24,A,2019-03-27 12:29:10.000000,R11,433,train,False
24,B,2019-03-29 10:34:23.318251,R24,624,train,False
24,C,2019-03-29 16:11:21.149883,R17,312,train,False
24,D,2019-03-30 11:53:08.905153,R75,624,train,True
24,F,2019-03-31 20:14:18.261725,R60,233,train,True
24,G,2019-04-02 08:04:05.092160,R60,583,train,True
24,H,2019-04-03 17:52:13.853997,R14,562,train,True
25,A,2017-09-19 09:20:28.000000,R80,805,train,False
25,B,2017-09-19 13:17:13.603535,R60,539,train,False
25,C,2017-09-20 06:57:16.925610,R95,483,train,False
25,D,2017-09-21 23:46:40.182600,R94,341,train,True
25,F,2017-09-22 10:15:04.650949,R80,289,train,True
25,G,2017-09-23 03:18:59.014143,R7,840,train,True
25,H,2017-09-24 14:58:37.238009,R35,63,train,True
26,A,2019-03-07 16:54:46.000000,R24,539,train,False
26,B,2019-03-08 10:22:16.679265,R28,341,train,False
26,C,2019-03-08 21:43:29.637363,R63,844,train,False
26,E,2019-03-09 09:34:44.597169,R100,764,train,True
26,F,2019-03-11 01:50:40.951601,R55,790,train,True
26,G,2019-03-11 13:36:25.118126,R29,572,train,True
26,H,2019-03-13 08:44:47.454005,R89,828,train,True
27,A,2019-07-14 06:58:20.000000,R57,16,train,False
27,B,2019-07-14 21:43:28.120815,R51,613,train,False
27,C,2019-07-15 02:22:49.785628,R50,233,train,False
27,D,2019-07-15 18:07:26.332302,R81,13,train,True
27,F,2019-07-16 03:22:53.231553,R54,926,train,True
27,G,2019-07-17 03:39:20.095822,R20,946,train,True
27,H,2019-07-19 01:09:51.323653,R14,928,train,True
28,A,2019-09-04 21:07:44.000000,R50,262,train,False
28,B,2019-09-04 23:14:41.414973,R22,182,train,False
28,C,2019-09-06 23:14:31.548878,R20,362,train,False
28,D,2019-09-08 21:39:34.164088,R36,539,train,True
28,F,2019-09-09 01:02:31.146648,R62,437,train,True
28,G,2019-09-10 21:28:57.350985,R90,433,train,True
28,H,2019-09-11 01:26:27.372317,R70,852,train,True
29,A,2018-09-11 16:44:01.000000,R78,601,train,False
29,B,2018-09-11 18:50:07.918171,R26,572,train,False
29,C,2018-09-13 03:17:49.679722,R56,928,train,False
29,E,2018-09-13 18:41:12.247209,R87,84,train,True
29,F,2018-09-14 03:27:46.169376,R80,437,train,True
29,G,2018-09-15 23:33:45.323882,R62,447,train,True
29,H,2018-09-16 14:29:05.921752,R75,829,train,True
30,A,2018-11-10 22:34:01.000000,R26,16,train,False
30,B,2018-11-11 08:43:19.001506,R77,811,train,False
30,C,2018-11-12 16:07:55.539201,R78,984,train,False
30,E,2018-11-14 14:09:49.889751,R49,233,train,True
30,F,2018-11-15 07:07:05.781864,R62,717,train,True
30,G,2018-11-15 16:55:12.849305,R68,483,train,True
30,H,2018-11-17 09:21:47.911863,R86,829,train,True
31,A,2017-09-08 03:03:23.000000,R94,275,train,False
31,B,2017-09-08 21:09:39.516119,R5,433,train,False
31,C,2017-09-09 10:12:09.439513,R42,852,train,False
31,E,2017-09-10 16:42:48.917724,R78,790,train,True
31,F,2017-09-11 17:17:54.173285,R52,256,train,True
31,G,2017-09-12 10:42:40.995863,R77,828,train,True
31,H,2017-09-13 02:51:12.580614,R10,472,train,True
32,A,2016-05-18 12:13:48.000000,R21,580,train,False
32,B,2016-05-19 23:09:07.889694,R61,355,train,False
32,C,2016-05-21 14:16:04.203656,R23,63,train,False
32,D,2016-05-23 14:02:54.185626,R36,562,train,True
32,F,2016-05-24 19:06:46.348617,R23,529,train,True
32,G,2016-05-25 03:43:28.150182,R47,447,train,True
32,H,2016-05-25 18:21:20.498108,R68,254,train,True
33,A,2015-02-10 22:52:31.000000,R59,502,train,False
33,B,2015-02-10 23:35:37.697167,R69,287,train,False
33,C,2015-02-12 06:23:29.224781,R72,262,train,False
33,D,2015-02-12 12:18:37.893980,R87,182,train,True
33,F,2015-02-12 17:00:05.627340,R38,604,train,True
33,G,2015-02-14 14:34:32.563834,R17,580,train,True
33,H,2015-02-14 20:00:27.231791,R4,236,train,True
34,A,2017-05-13 04:10:03.000000,R34,828,train,False
34,B,2017-05-14 13:03:15.292108,R30,447,train,False
34,C,2017-05-16 06:17:18.875156,R91,563,train,False
