case,activity,timestamp,resource,price,case_label,target
1,A,2016-12-21 12:03:07.000000,R72,289,train,False
1,B,2016-12-22 08:58:18.355543,R34,447,train,False
1,C,2016-12-22 09:34:14.555414,R8,256,train,False
1,D,2016-12-23 03:29:44.261040,R34,600,train,True
1,F,2016-12-24 06:24:03.378298,R61,829,train,True
1,G,2016-12-25 14:44:13.807878,R31,287,train,True
1,H,2016-12-26 04:09:37.687119,R2,583,train,True
2,A,2017-08-14 16:04:36.000000,R72,287,test,False
2,B,2017-08-14 19:46:30.117109,R3,433,test,False
2,C,2017-08-16 18:21:08.203458,R999,196,test,False
2,D,2017-08-18 14:20:30.476704,R20,472,test,True
2,F,2017-08-18 14:50:47.602403,R4,928,test,True
2,G,2017-08-19 18:28:21.434314,R29,433,test,True
2,H,2017-08-20 09:17:39.883583,R9,562,test,True
3,A,2018-08-15 01:13:46.000000,R66,879,train,False
3,B,2018-08-16 20:22:54.332746,R35,13,train,False
3,C,2018-08-17 21:31:08.858605,R66,571,train,False
3,E,2018-08-19 14:00:49.768809,R3,928,train,True
3,F,2018-08-21 07:08:42.126016,R43,935,train,True
3,G,2018-08-23 05:54:00.259310,R92,419,train,True
3,H,2018-08-23 09:22:09.710850,R78,236,train,True
4,A,2015-01-30 13:20:21.000000,R58,928,test,False
4,B,2015-01-31 19:32:45.960918,R50,236,test,False
4,C,2015-02-02 18:39:49.094369,R999,289,test,False
4,D,2015-02-04 13:09:22.956319,R82,875,test,True
4,F,2015-02-06 11:40:05.718588,R28,55,test,True
4,G,2015-02-06 13:08:59.691586,R95,600,test,True
4,H,2015-02-07 01:49:58.852373,R97,418,test,True
5,A,2018-10-13 21:46:41.000000,R92,472,train,False
5,B,2018-10-14 16:38:54.138438,R59,419,train,False
5,C,2018-10-15 10:19:25.851636,R76,717,train,False
5,E,2018-10-15 23:51:35.791587,R19,805,train,True
5,F,2018-10-17 11:38:55.581674,R78,539,train,True
5,G,2018-10-19 07:32:51.808061,R30,844,train,True
5,H,2018-10-19 11:01:43.512314,R88,157,train,True
6,A,2018-10-10 06:39:11.000000,R22,848,train,False
6,B,2018-10-11 01:28:27.256355,R10,472,train,False
6,C,2018-10-12 07:55:14.001239,R24,233,train,False
6,D,2018-10-13 07:52:45.281938,R71,784,train,True
6,F,2018-10-13 20:23:00.717113,R31,853,train,True
6,G,2018-10-15 09:36:29.947259,R32,829,train,True
6,H,2018-10-17 02:37:07.403727,R36,671,train,True
