case,activity,timestamp,resource,price,case_label,target
1,A,2017-03-04 22:13:51.000000,R85,433,test,False
1,B,2017-03-06 03:16:27.155398,R90,1019,test,False
1,C,2017-03-07 14:57:37.454152,R68,607,test,False
1,E,2017-03-09 11:18:03.974368,R7,269,test,True
1,F,2017-03-11 05:55:31.952038,R46,16,test,False
1,G,2017-03-11 16:47:48.636009,R47,77,test,False
1,H,2017-03-12 12:26:38.903777,R35,40,test,False
2,A,2017-10-15 02:15:00.000000,R3,485,test,False
2,B,2017-10-16 21:00:43.242463,R90,654,test,False
2,C,2017-10-17 22:37:14.759255,R45,978,test,False
2,E,2017-10-18 02:51:48.970329,R10,269,test,True
2,F,2017-10-18 19:08:18.463749,R68,437,test,False
2,G,2017-10-18 21:32:42.004146,R58,562,test,False
2,H,2017-10-19 07:55:14.366035,R7,562,test,False
3,A,2016-06-12 13:09:06.000000,R30,742,train,False
3,B,2016-06-13 00:02:34.372777,R14,951,train,False
3,C,2016-06-14 13:10:20.790016,R86,764,train,False
3,E,2016-06-15 15:22:52.156532,R28,63,train,True
3,F,2016-06-15 17:44:46.722930,R55,472,train,False
3,G,2016-06-17 17:15:46.672728,R52,557,train,False
3,H,2016-06-19 12:08:27.708492,R93,539,train,False
4,A,2017-02-08 05:29:04.000000,R4,879,train,False
4,B,2017-02-08 15:36:56.242934,R78,805,train,False
4,C,2017-02-08 17:11:13.427217,R38,251,train,False
4,D,2017-02-10 11:50:06.463989,R27,483,train,True
4,F,2017-02-10 22:48:35.199947,R11,256,train,False
4,G,2017-02-11 09:01:59.661359,R51,157,train,False
4,H,2017-02-11 16:07:02.757530,R60,362,train,False
5,A,2016-05-24 17:21:01.000000,R90,362,test,False
5,B,2016-05-25 22:14:59.045274,R29,158,test,False
5,C,2016-05-26 15:02:30.885419,R86,878,test,False
5,E,2016-05-28 05:56:38.667273,R84,935,test,True
5,F,2016-05-29 12:52:21.076473,R31,848,test,False
5,G,2016-05-30 01:00:40.178884,R98,324,test,False
5,H,2016-05-30 19:27:08.168792,R55,601,test,False
6,A,2019-07-22 15:31:59.000000,R19,844,test,False
6,B,2019-07-24 02:30:57.319778,R31,69,test,False
6,C,2019-07-25 20:30:42.711806,R29,127,test,False
6,D,2019-07-27 13:37:17.280678,R39,601,test,True
6,F,2019-07-29 06:01:59.580857,R57,437,test,False
6,G,2019-07-29 23:54:46.006940,R68,19,test,False
6,H,2019-07-30 21:47:07.582913,R83,764,test,False
7,A,2017-04-29 01:47:51.000000,R72,19,train,False
7,B,2017-04-29 04:19:29.864730,R32,805,train,False
7,C,2017-04-29 11:26:41.761207,R99,784,train,False
7,E,2017-04-29 23:52:15.091506,R2,875,train,True
7,F,2017-04-30 02:36:07.201850,R72,503,train,False
7,G,2017-05-01 17:55:26.654299,R94,764,train,False
7,H,2017-05-03 14:11:06.337094,R7,601,train,False
8,A,2017-06-29 03:42:17.000000,R12,269,train,False
8,B,2017-06-29 18:56:27.825860,R43,485,train,False
8,C,2017-06-29 22:59:06.658892,R26,932,train,False
8,E,2017-07-01 02:04:16.698644,R5,840,train,True
8,F,2017-07-02 00:39:32.291277,R31,624,train,False
8,G,2017-07-02 03:17:17.244611,R84,483,train,False
8,H,2017-07-02 19:12:51.131394,R28,828,train,False
9,A,2017-07-16 11:05:28.000000,R1,383,train,False
9,B,2017-07-17 00:40:37.865673,R6,583,train,False
9,C,2017-07-17 16:38:03.526410,R82,312,train,False
9,D,2017-07-18 01:18:01.786194,R42,262,train,True
9,F,2017-07-19 21:42:52.275416,R86,341,train,False
9,G,2017-07-20 11:17:49.167113,R38,539,train,False
9,H,2017-07-21 14:46:13.799182,R25,418,train,False
10,A,2018-08-06 01:03:52.000000,R35,483,train,False
10,B,2018-08-06 23:53:22.911212,R15,571,train,False
10,C,2018-08-07 13:26:25.768727,R85,362,train,False
10,D,2018-08-07 15:28:11.026929,R9,764,train,True
10,F,2018-08-08 10:18:13.651924,R38,539,train,False
10,G,2018-08-09 20:55:05.932538,R59,483,train,False
10,H,2018-08-10 11:06:59.811719,R50,829,train,False
11,A,2018-08-25 18:22:26.000000,R89,312,train,False
11,B,2018-08-27 02:45:17.302595,R1,324,train,False
11,C,2018-08-28 18:57:03.294945,R39,624,train,False
11,E,2018-08-30 08:56:23.000738,R71,601,train,True
11,F,2018-09-01 03:49:40.033792,R29,562,train,False
