case,activity,timestamp,resource,price,case_label,target
1,A,2015-04-22 16:23:13.000000,R38,764,train,False
1,B,2015-04-23 16:42:50.425112,R72,563,train,False
1,C,2015-04-24 03:46:58.725726,R28,998,train,False
1,E,2015-04-24 14:28:14.940738,R16,383,train,True
1,F,2015-04-24 19:20:49.324677,R28,730,train,False
1,G,2015-04-25 16:28:32.158191,R52,848,train,False
1,H,2015-04-26 05:24:21.841854,R72,875,train,False
2,A,2019-11-27 22:41:36.000000,R84,19,train,False
2,B,2019-11-28 19:21:59.792149,R34,383,train,False
2,C,2019-11-30 10:01:21.942974,R35,236,train,False
2,D,2019-11-30 20:54:41.883887,R34,229,train,True
2,F,2019-12-02 08:54:44.246347,R12,251,train,False
2,G,2019-12-03 01:38:45.864266,R98,269,train,False
2,H,2019-12-04 14:07:57.905735,R9,624,train,False
3,A,2016-04-10 00:13:20.000000,R79,879,train,False
3,B,2016-04-11 02:41:39.135591,R21,764,train,False
3,C,2016-04-11 04:19:29.576239,R13,324,train,False
3,D,2016-04-11 16:31:38.697245,R40,604,train,True
3,F,2016-04-12 10:13:08.664348,R61,773,train,False
3,G,2016-04-13 07:35:28.104027,R55,98,train,False
3,H,2016-04-13 19:31:46.308242,R34,55,train,False
4,A,2019-09-28 11:50:56.000000,R3,848,train,False
4,B,2019-09-28 17:47:03.382779,R37,601,train,False
4,C,2019-09-29 21:34:35.459796,R85,928,train,False
4,E,2019-09-29 23:26:49.403782,R59,601,train,True
4,F,2019-09-30 13:08:42.195398,R69,604,train,False
4,G,2019-09-30 22:15:07.711956,R62,624,train,False
4,H,2019-10-01 00:13:17.311959,R14,969,train,False
5,A,2018-09-26 16:55:23.000000,R33,275,train,False
5,B,2018-09-27 04:35:18.730980,R91,829,train,False
5,C,2018-09-28 00:01:50.809367,R83,848,train,False
5,E,2018-09-28 09:48:19.657516,R43,236,train,True
5,F,2018-09-28 13:14:25.685801,R4,472,train,False
5,G,2018-09-28 21:08:12.164599,R57,604,train,False
5,H,2018-09-29 07:57:23.351828,R86,269,train,False
6,A,2019-11-15 04:37:23.000000,R95,472,train,False
6,B,2019-11-17 00:25:08.669074,R31,98,train,False
6,C,2019-11-18 08:53:34.156241,R65,853,train,False
6,E,2019-11-18 13:46:06.454528,R19,790,train,True
6,F,2019-11-20 10:40:49.381441,R78,254,train,False
6,G,2019-11-21 11:13:58.584628,R75,485,train,False
6,H,2019-11-22 19:53:35.163187,R52,928,train,False
7,A,2015-04-17 01:08:22.000000,R1,362,train,False
7,B,2015-04-17 14:33:26.426649,R43,442,train,False
7,C,2015-04-18 12:32:24.496941,R64,433,train,False
7,D,2015-04-20 08:10:27.366721,R11,811,train,True
7,F,2015-04-22 07:27:29.814027,R9,969,train,False
7,G,2015-04-22 18:01:31.864397,R49,844,train,False
7,H,2015-04-24 03:50:03.573200,R36,483,train,False
8,A,2015-03-24 14:57:57.000000,R94,811,train,False
8,B,2015-03-25 10:05:04.617950,R82,853,train,False
8,C,2015-03-26 05:51:36.618248,R1,840,train,False
8,E,2015-03-27 23:41:42.567342,R49,840,train,True
8,F,2015-03-29 17:55:50.347394,R2,686,train,False
8,G,2015-03-31 13:08:00.426975,R89,433,train,False
8,H,2015-04-02 03:26:18.950367,R25,875,train,False
9,A,2018-06-29 13:15:30.000000,R98,529,train,False
9,B,2018-06-30 00:00:28.727077,R19,991,train,False
9,C,2018-07-01 16:04:37.802668,R67,613,train,False
9,E,2018-07-01 21:35:47.573544,R8,762,train,True
9,F,2018-07-02 10:19:29.141618,R34,256,train,False
9,G,2018-07-03 10:00:59.889833,R47,437,train,False
9,H,2018-07-05 01:09:57.462779,R3,563,train,False
10,A,2017-03-22 03:16:29.000000,R20,879,test,False
10,B,2017-03-24 00:55:07.155837,R75,483,test,False
10,C,2017-03-24 22:33:21.725914,R30,483,test,False
10,D,2017-03-26 14:05:37.650800,R7,433,test,True
10,F,2017-03-28 06:12:40.351031,R84,583,test,False
10,G,2017-03-29 18:02:27.095000,R60,13,test,False
10,H,2017-03-30 20:52:44.596860,R68,984,test,False
11,A,2018-03-26 08:40:42.000000,R32,55,train,False
11,B,2018-03-27 13:25:06.438013,R9,254,train,False
11,C,2018-03-28 04:39:10.547914,R43,19,train,False
11,D,2018-03-29 09:43:44.279851,R59,269,train,True
11,F,2018-03-31 03:35:38.100122,R10,442,train,False
11,G,2018-04-01 08:22:15.956052,R31,572,train,False
11,H,2018-04-02 01:32:45.060589,R99,730,train,False
12,A,2016-12-31 15:48:41.000000,R89,805,train,False
12,B,2017-01-02 13:24:39.390688,R59,63,train,False
12,C,2017-01-02 23:04:37.315002,R67,19,train,False
12,D,2017-01-04 07:40:46.998308,R85,624,train,True
12,F,2017-01-04 09:38:04.995889,R60,562,train,False
12,G,2017-01-04 16:50:51.609393,R51,196,train,False
12,H,2017-01-06 12:58:45.365652,R60,77,train,False
13,A,2015-02-04 16:30:38.000000,R39,256,train,False
13,B,2015-02-06 03:54:51.218690,R46,269,train,False
13,C,2015-02-06 15:32:07.709343,R81,853,train,False
13,E,2015-02-08 10:56:44.027558,R66,984,train,True
13,F,2015-02-08 14:03:00.288309,R90,829,train,False
13,G,2015-02-10 00:32:00.983210,R29,442,train,False
13,H,2015-02-10 02:32:05.462426,R18,251,train,False
14,A,2016-10-01 09:21:10.000000,R68,287,train,False
14,B,2016-10-01 09:35:27.011071,R92,562,train,False
14,C,2016-10-02 16:33:56.774329,R40,853,train,False
14,E,2016-10-04 01:35:03.837167,R71,485,train,True
14,F,2016-10-06 00:23:50.033502,R48,229,train,False
14,G,2016-10-06 14:02:05.919873,R91,601,train,False
14,H,2016-10-07 22:31:02.590913,R78,571,train,False
15,A,2017-10-16 09:07:09.000000,R14,77,train,False
15,B,2017-10-17 03:27:11.093070,R77,784,train,False
15,C,2017-10-17 11:00:52.561632,R3,63,train,False
15,D,2017-10-17 21:17:12.747433,R18,13,train,True
15,F,2017-10-19 12:55:04.537996,R19,13,train,False
15,G,2017-10-20 13:09:02.738172,R47,16,train,False
15,H,2017-10-21 02:22:10.089261,R79,254,train,False
16,A,2017-02-28 03:22:29.000000,R68,84,train,False
16,B,2017-03-01 21:57:22.489712,R83,77,train,False
16,C,2017-03-03 16:49:00.656416,R79,926,train,False
16,E,2017-03-04 11:36:19.938533,R73,19,train,True
16,F,2017-03-06 07:48:17.845059,R73,875,train,False
16,G,2017-03-07 03:46:08.483772,R36,583,train,False
16,H,2017-03-07 17:22:56.304195,R34,19,train,False
17,A,2019-09-19 09:12:13.000000,R96,622,train,False
17,B,2019-09-19 14:59:53.210937,R20,784,train,False
17,C,2019-09-20 10:24:44.990996,R76,529,train,False
17,E,2019-09-21 12:35:25.624328,R96,312,train,True
17,F,2019-09-23 02:02:22.609676,R77,63,train,False
17,G,2019-09-23 16:21:31.240197,R24,262,train,False
17,H,2019-09-24 11:22:12.959497,R4,935,train,False
18,A,2015-12-11 07:31:43.000000,R64,229,train,False
