case,activity,timestamp,resource,price,case_label,target
1,A,2017-11-06 21:30:05.000000,R58,624,train,False
1,B,2017-11-07 16:14:37.205810,R56,418,train,False
1,C,2017-11-08 05:59:16.439069,R40,951,train,False
1,E,2017-11-09 12:25:14.070262,R13,717,train,True
1,F,2017-11-09 13:11:28.115482,R33,269,train,True
1,G,2017-11-11 01:29:18.306474,R74,262,train,True
1,H,2017-11-12 04:01:13.999887,R87,730,train,True
2,A,2016-12-13 20:08:05.000000,R68,790,train,False
2,B,2016-12-14 04:32:45.367684,R52,730,train,False
2,C,2016-12-14 09:13:31.404783,R30,951,train,False
2,E,2016-12-15 02:46:26.059847,R65,773,train,True
2,F,2016-12-15 19:28:42.700214,R65,236,train,True
2,G,2016-12-15 22:08:40.048703,R25,852,train,True
2,H,2016-12-16 12:31:39.526619,R44,926,train,True
3,A,2018-07-22 21:42:03.000000,R69,624,train,False
3,B,2018-07-24 01:50:42.289529,R97,182,train,False
3,C,2018-07-25 22:39:06.352499,R62,742,train,False
3,E,2018-07-27 19:30:49.905117,R84,875,train,True
3,F,2018-07-29 00:38:12.698384,R11,562,train,True
3,G,2018-07-29 07:53:11.141045,R9,984,train,True
3,H,2018-07-29 20:28:23.286723,R6,483,train,True
4,A,2015-07-30 11:45:28.000000,R11,828,train,False
4,B,2015-07-31 00:44:14.603474,R92,951,train,False
4,C,2015-08-01 15:11:27.188191,R32,353,train,False
4,D,2015-08-02 08:44:49.100900,R62,98,train,True
4,F,2015-08-04 00:01:55.590698,R80,40,train,True
4,G,2015-08-04 04:21:26.646365,R70,236,train,True
4,H,2015-08-06 03:36:12.159831,R12,145,train,True
5,A,2019-04-13 07:38:42.000000,R9,562,test,False
5,X,2019-04-15 03:53:37.060639,R67,984,test,False
5,Y,2019-04-16 23:56:13.871308,R20,447,test,False
5,D,2019-04-18 09:11:15.249829,R72,502,test,True
5,F,2019-04-19 06:27:42.536148,R74,622,test,True
5,G,2019-04-20 05:18:04.079606,R86,84,test,True
5,H,2019-04-20 15:00:16.978326,R75,984,test,True
6,A,2016-01-06 17:18:38.000000,R37,601,train,False
6,B,2016-01-07 23:50:16.529684,R20,383,train,False
6,C,2016-01-09 04:44:04.018289,R84,600,train,False
6,E,2016-01-09 12:27:27.159288,R44,353,train,True
6,F,2016-01-09 18:40:53.520746,R17,236,train,True
6,G,2016-01-10 08:01:42.331815,R77,98,train,True
6,H,2016-01-12 02:33:21.649852,R44,840,train,True
7,A,2017-10-22 19:15:03.000000,R65,355,train,False
7,B,2017-10-24 19:14:06.359579,R66,196,train,False
7,C,2017-10-25 00:17:08.232448,R97,256,train,False
7,D,2017-10-26 20:46:51.038222,R76,742,train,True
7,F,2017-10-27 00:57:32.549823,R27,289,train,True
7,G,2017-10-28 20:57:13.049452,R91,437,train,True
7,H,2017-10-29 01:23:06.226972,R1,580,train,True
8,A,2016-03-10 13:57:30.000000,R18,784,train,False
8,B,2016-03-11 18:54:02.784826,R15,539,train,False
8,C,2016-03-13 18:21:56.678532,R13,717,train,False
8,E,2016-03-13 22:54:27.499168,R67,764,train,True
8,F,2016-03-14 23:34:17.518321,R70,572,train,True
8,G,2016-03-15 10:49:59.349045,R62,256,train,True
8,H,2016-03-16 12:48:44.738701,R75,324,train,True
9,A,2019-01-25 11:46:13.000000,R90,355,train,False
9,B,2019-01-25 20:11:40.203097,R24,896,train,False
9,C,2019-01-26 08:14:57.674746,R6,852,train,False
9,E,2019-01-28 00:15:51.181062,R42,256,train,True
9,F,2019-01-30 00:04:17.040019,R45,613,train,True
9,G,2019-01-31 17:43:12.629862,R39,383,train,True
9,H,2019-01-31 19:26:29.372127,R83,805,train,True
10,A,2019-04-03 13:49:55.000000,R92,562,train,False
10,B,2019-04-05 05:45:25.215363,R1,433,train,False
10,C,2019-04-05 08:05:01.115876,R19,98,train,False
10,D,2019-04-05 23:31:20.330312,R43,932,train,True
10,F,2019-04-06 10:45:40.088584,R54,875,train,True
10,G,2019-04-07 22:58:23.872602,R2,341,train,True
10,H,2019-04-08 22:52:33.259170,R68,604,train,True
11,A,2016-12-30 21:19:26.000000,R49,539,test,False
11,X,2017-01-01 12:31:23.624196,R52,991,test,False
11,Y,2017-01-03 02:34:24.470739,R87,580,test,False
11,E,2017-01-03 12:52:54.135737,R46,419,test,True
11,F,2017-01-03 19:46:16.692744,R18,991,test,True
11,G,2017-01-04 14:50:35.075412,R64,16,test,True
11,H,2017-01-06 13:34:18.686476,R98,433,test,True
12,A,2018-12-06 01:45:32.000000,R17,784,test,False
12,X,2018-12-07 06:38:08.378897,R48,312,test,False
12,Y,2018-12-09 00:18:42.646227,R26,229,test,False
12,D,2018-12-10 20:38:00.607118,R9,108,test,True
12,F,2018-12-11 08:32:18.804345,R27,601,test,True
12,G,2018-12-12 00:58:25.876629,R38,563,test,True
12,H,2018-12-13 19:59:48.577926,R21,580,test,True
13,A,2018-07-15 19:48:23.000000,R2,742,train,False
13,B,2018-07-16 08:57:22.074714,R30,562,train,False
13,C,2018-07-17 15:20:53.521752,R74,762,train,False
13,E,2018-07-18 07:21:31.438926,R7,289,train,True
