case,activity,timestamp,resource,price,case_label,target
1,A,2017-10-19 03:40:03.000000,R40,622,train,False
1,B,2017-10-20 16:43:30.292740,R7,583,train,False
1,C,2017-10-20 21:49:39.341237,R31,485,train,False
1,D,2017-10-22 00:17:10.756128,R56,879,train,True
1,F,2017-10-22 01:15:48.435447,R99,262,train,True
1,G,2017-10-23 00:11:27.542736,R86,98,train,True
1,H,2017-10-23 03:53:56.603888,R20,98,train,True
2,A,2015-06-09 02:33:03.000000,R42,853,test,False
2,B,2015-06-09 21:50:35.033873,R76,811,test,False
2,X,2015-06-10 17:16:44.889032,R10,935,test,False
2,E,2015-06-12 01:40:06.993214,R79,196,test,True
2,F,2015-06-12 18:20:22.077207,R8,145,test,True
2,G,2015-06-12 22:55:48.857071,R44,275,test,True
2,H,2015-06-13 11:59:28.330750,R46,84,test,True
3,A,2015-01-23 02:27:42.000000,R18,878,train,False
3,B,2015-01-24 02:15:56.857800,R18,355,train,False
3,C,2015-01-24 15:05:35.858535,R67,251,train,False
3,D,2015-01-25 04:28:03.384234,R10,984,train,True
3,F,2015-01-25 05:28:22.552654,R26,108,train,True
3,G,2015-01-26 20:24:26.287952,R21,84,train,True
3,H,2015-01-28 09:32:04.048356,R98,935,train,True
4,A,2019-09-07 15:48:35.000000,R52,254,train,False
4,B,2019-09-08 07:11:37.427329,R78,262,train,False
4,C,2019-09-09 11:18:14.111553,R33,40,train,False
4,D,2019-09-10 00:39:03.085167,R36,40,train,True
4,F,2019-09-11 21:14:05.736114,R39,503,train,True
4,G,2019-09-13 05:51:02.001667,R73,98,train,True
4,H,2019-09-14 00:47:16.787612,R87,926,train,True
5,A,2019-11-21 22:14:40.000000,R73,730,train,False
5,B,2019-11-23 12:14:42.452942,R78,55,train,False
5,C,2019-11-24 05:21:58.193093,R62,55,train,False
5,D,2019-11-25 11:03:56.019275,R89,600,train,True
5,F,2019-11-26 04:09:32.654860,R32,233,train,True
5,G,2019-11-27 01:50:14.235983,R29,998,train,True
5,H,2019-11-28 17:18:48.475645,R99,762,train,True
6,A,2015-08-03 10:05:26.000000,R59,928,test,False
6,B,2015-08-03 18:10:05.297520,R16,742,test,False
6,X,2015-08-05 14:04:53.792080,R23,145,test,False
6,D,2015-08-07 08:44:02.086742,R76,932,test,True
6,F,2015-08-08 16:01:46.292168,R16,269,test,True
6,G,2015-08-09 07:07:25.574400,R26,256,test,True
6,H,2015-08-11 03:26:10.095832,R13,353,test,True
7,A,2015-01-12 13:20:01.000000,R12,383,train,False
7,B,2015-01-13 17:28:48.331807,R15,269,train,False
7,C,2015-01-15 05:11:23.328183,R44,557,train,False
7,E,2015-01-15 12:30:43.983014,R49,63,train,True
7,F,2015-01-15 20:36:50.775724,R54,717,train,True
7,G,2015-01-17 13:43:05.000185,R76,262,train,True
7,H,2015-01-18 16:14:49.005488,R9,926,train,True
